ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Updated On,Year,Latitude,Longitude,Location
8715565,HV391813,2012/07/20,053XX W IOWA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1524,37,08B,1140204,1905434,07/27/2012,2012,41.89660665,-87.76050545,"(41.89660665493868, -87.76050545451594)"
8714783,HV391352,2012/07/20,015XX N HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,2535,26,08B,1150798,1909898,07/26/2012,2012,41.90865562,-87.72147823,"(41.908655621551524, -87.72147822654429)"
8714808,HV391366,2012/07/20,091XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0634,21,08B,1176597,1844197,07/26/2012,2012,41.72782226,-87.62868494,"(41.72782225801834, -87.6286849417537)"
8715714,HV391478,2012/07/20,076XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0624,8,14,1183846,1854517,07/23/2012,2012,41.75597554,-87.60180948,"(41.75597554479747, -87.60180947760546)"
8714889,HV391453,2012/07/20,047XX S ASHLAND AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,PARKING LOT/GARAGE(NON.RESID.),false,false,0933,20,03,1166504,1873489,07/22/2012,2012,41.80842417,-87.66482338,"(41.808424168531396, -87.66482338269512)"
8714807,HV391355,2012/07/20,047XX N SHERIDAN RD,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1914,46,08B,1168812,1931821,07/22/2012,2012,41.96844165,-87.65466605,"(41.968441649446824, -87.65466605228735)"
8714821,HV391358,2012/07/20,060XX N BROADWAY,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,2433,48,06,1167253,1940103,07/22/2012,2012,41.99120144,-87.66015906,"(41.99120143563204, -87.66015906423067)"
8717913,HV391329,2012/07/20,016XX S CLARK ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0131,25,03,1175731,1892360,07/24/2012,2012,41.86000579,-87.63041465,"(41.86000578654093, -87.63041464503742)"
8714833,HV391332,2012/07/20,023XX N GREENVIEW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1811,32,14,1165954,1915825,07/22/2012,2012,41.92460951,-87.66563291,"(41.92460951371576, -87.66563291174744)"
8714789,HV391331,2012/07/20,032XX W NORTH AVE,0460,BATTERY,SIMPLE,STREET,true,false,1422,26,08B,1154214,1910484,07/22/2012,2012,41.91019611,-87.70891375,"(41.91019610656566, -87.70891375017843)"
8714827,HV391327,2012/07/20,054XX W PENSACOLA AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1624,38,03,1139500,1928354,07/24/2012,2012,41.95951445,-87.76253076,"(41.95951444517054, -87.76253075513021)"
8714824,HV391367,2012/07/20,093XX S LA SALLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0634,21,15,1176957,1843172,07/23/2012,2012,41.72500143,-87.627397,"(41.725001429403264, -87.62739699809202)"
8714862,HV391321,2012/07/20,054XX N KENMORE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2023,48,06,1168225,1936398,07/22/2012,2012,41.98101381,-87.65669148,"(41.98101380795634, -87.65669148063809)"
8714869,HV391320,2012/07/20,060XX S WESTERN AVE,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,false,false,0825,15,03,1161360,1864749,07/26/2012,2012,41.78454873,-87.68393262,"(41.78454872970981, -87.68393262055578)"
8714798,HV391312,2012/07/20,098XX S PARNELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,2223,21,14,1174403,1839795,07/22/2012,2012,41.71579157,-87.63685237,"(41.715791565168, -87.6368523743328)"
8714723,HV391313,2012/07/20,075XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0612,17,08B,1169919,1854761,07/22/2012,2012,41.75695874,-87.65284158,"(41.75695874169393, -87.65284157507277)"
8721912,HV398197,2012/07/20,005XX N PINE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1523,37,03,1139466,1903366,07/27/2012,2012,41.8909453,-87.76326651,"(41.89094529745121, -87.76326650546376)"
8714765,HV391318,2012/07/20,041XX W MAYPOLE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1114,28,26,1148843,1901093,07/27/2012,2012,41.88453182,-87.72888789,"(41.884531821319236, -87.72888789163565)"
8716017,HV392353,2012/07/20,033XX W FILLMORE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),false,false,1134,24,14,1154096,1895210,07/25/2012,2012,41.8682851,-87.709755,"(41.8682851027778, -87.70975500271712)"
8715206,HV391615,2012/07/20,017XX N SEDGWICK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1813,43,07,1173285,1911844,07/23/2012,2012,41.91352567,-87.63881432,"(41.91352566784828, -87.6388143184863)"
8715246,HV391602,2012/07/20,032XX N KENNETH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1731,31,07,1146177,1921428,07/22/2012,2012,41.94038425,-87.73815973,"(41.94038424841072, -87.7381597252944)"
8714848,HV391365,2012/07/20,020XX W HOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2413,40,08B,1161431,1940775,07/22/2012,2012,41.99316901,-87.68155505,"(41.993169009699976, -87.68155504521546)"
8714751,HV391334,2012/07/20,007XX W BROMPTON AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),true,false,1925,46,06,1170897,1923781,07/27/2012,2012,41.94633406,-87.64723635,"(41.94633405926248, -87.64723635287292)"
8714864,HV391326,2012/07/20,067XX W 64TH ST,0820,THEFT,$500 AND UNDER,TAXICAB,false,false,0812,23,06,1132460,1861291,07/26/2012,2012,41.77560943,-87.78997393,"(41.775609426075135, -87.78997393121305)"
8716264,HV392334,2012/07/20,063XX W MONTROSE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,false,false,1622,38,11,1132928,1928607,07/24/2012,2012,41.96032629,-87.78668679,"(41.96032628863845, -87.78668679217456)"
8714797,HV391314,2012/07/20,099XX S BENSLEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0431,7,14,1194508,1839250,07/23/2012,2012,41.71382615,-87.56323694,"(41.713826145871636, -87.56323694485279)"
8714832,HV391301,2012/07/20,003XX N MENARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1512,29,08B,1137614,1901572,07/26/2012,2012,41.88605589,-87.77011133,"(41.886055892715454, -87.77011133137373)"
8714768,HV391304,2012/07/20,034XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,DRUG STORE,false,false,0211,4,08B,1179512,1882375,07/24/2012,2012,41.83252049,-87.61684158,"(41.83252049476733, -87.61684157763452)"
8714781,HV391319,2012/07/20,072XX S CONSTANCE AVE,0460,BATTERY,SIMPLE,OTHER,false,false,0324,8,08B,1189593,1857099,07/22/2012,2012,41.76292475,-87.58066553,"(41.762924749034994, -87.58066552906959)"
8714741,HV391310,2012/07/20,039XX W 56TH ST,1330,CRIMINAL TRESPASS,TO LAND,STREET,true,false,0822,13,26,1150723,1867207,07/22/2012,2012,41.7915077,-87.72286861,"(41.791507697731305, -87.72286860569655)"
8714752,HV391309,2012/07/20,015XX W 18TH PL,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,true,true,1222,25,04B,1166399,1891199,07/22/2012,2012,41.85702445,-87.6647029,"(41.85702444569767, -87.6647029037363)"
8716990,HV393389,2012/07/20,031XX N SEMINARY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1933,44,06,1168360,1920954,07/27/2012,2012,41.93863199,-87.65664353,"(41.93863199330962, -87.65664352623071)"
8717043,HV393572,2012/07/20,004XX N STATE ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,1831,42,06,1176262,1903061,07/27/2012,2012,41.88935803,-87.62814278,"(41.889358029191605, -87.62814278442637)"
8714860,HV391308,2012/07/20,075XX S CRANDON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0414,7,14,1192889,1855216,07/27/2012,2012,41.75767787,-87.56864669,"(41.75767787426577, -87.56864669125243)"
